epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,45498.1,0.21394,0.23462,0.8773,0.90596,0.85209,0.91047,0.87715,0.24627,0.48941,0.89796,0.00013625,0.00013625,0.00013625
92,45992.8,0.20092,0.21536,0.86909,0.89807,0.84811,0.91121,0.87843,0.24229,0.4946,0.89414,0.000123875,0.000123875,0.000123875
93,46489.1,0.20434,0.21906,0.86732,0.88886,0.87135,0.90889,0.87797,0.24066,0.48621,0.89086,0.0001115,0.0001115,0.0001115
94,46985.1,0.19733,0.20746,0.86691,0.8952,0.86522,0.90515,0.87706,0.23897,0.49139,0.8888,9.9125e-05,9.9125e-05,9.9125e-05
95,47480.4,0.19586,0.20055,0.86096,0.90319,0.86187,0.91184,0.88193,0.24161,0.4807,0.8913,8.675e-05,8.675e-05,8.675e-05
96,47975.6,0.19341,0.20048,0.85746,0.89084,0.87537,0.91243,0.8855,0.24017,0.48637,0.89074,7.4375e-05,7.4375e-05,7.4375e-05
97,48477.4,0.19323,0.19365,0.8647,0.90641,0.85978,0.91424,0.88684,0.23885,0.46976,0.88871,6.2e-05,6.2e-05,6.2e-05
98,48971.7,0.19112,0.19222,0.85849,0.86455,0.89086,0.91468,0.88734,0.23305,0.47077,0.88432,4.9625e-05,4.9625e-05,4.9625e-05
99,49465.1,0.18831,0.18778,0.85582,0.91172,0.84735,0.91372,0.88615,0.23677,0.48269,0.8881,3.725e-05,3.725e-05,3.725e-05
100,49958.8,0.1875,0.18836,0.85693,0.89194,0.86176,0.91435,0.88679,0.2378,0.47486,0.88992,2.4875e-05,2.4875e-05,2.4875e-05
